Sensors: ['0x40', '0x41', '0x44', '0x45']
Time [s]	PT104 [°C]	R_0 [Ω]	I_0 [A]	V_0 [V]	R_1 [Ω]	I_1 [A]	V_1 [V]	R_2 [Ω]	I_2 [A]	V_2 [V]	R_3 [Ω]	I_3 [A]	V_3 [V]
15849.077	16.106	31107	1.06670e-04	3.31816	31320	1.05880e-04	3.31602	31552	1.05060e-04	3.31484	31227	1.06150e-04	3.31465
15850.131	16.116	31052	1.06850e-04	3.31797	31378	1.05680e-04	3.31602	31555	1.05050e-04	3.31484	31199	1.06240e-04	3.31445
15851.185	16.116	31040	1.06900e-04	3.31816	31386	1.05650e-04	3.31602	31517	1.05180e-04	3.31504	31195	1.06250e-04	3.31465
15852.239	16.099	31035	1.06900e-04	3.31777	31372	1.05700e-04	3.31602	31582	1.04960e-04	3.31484	31198	1.06250e-04	3.31465
15853.293	16.099	31014	1.06980e-04	3.31797	31373	1.05690e-04	3.31582	31546	1.05070e-04	3.31465	31216	1.06180e-04	3.31445
15854.347	16.099	31041	1.06890e-04	3.31797	31343	1.05800e-04	3.31621	31507	1.05210e-04	3.31484	31249	1.06070e-04	3.31465
15855.401	16.115	31061	1.06820e-04	3.31797	31384	1.05660e-04	3.31602	31568	1.05010e-04	3.31504	31212	1.06200e-04	3.31465
15856.456	16.115	31033	1.06920e-04	3.31797	31386	1.05650e-04	3.31602	31544	1.05080e-04	3.31465	31139	1.06430e-04	3.31426
15857.510	16.115	31021	1.06970e-04	3.31816	31366	1.05720e-04	3.31602	31554	1.05060e-04	3.31504	31217	1.06180e-04	3.31465
15858.564	16.109	31031	1.06920e-04	3.31797	31338	1.05810e-04	3.31602	31598	1.04910e-04	3.31484	31206	1.06210e-04	3.31445
15859.618	16.109	31038	1.06900e-04	3.31797	31372	1.05710e-04	3.31621	31576	1.04980e-04	3.31484	31190	1.06270e-04	3.31465
15860.672	16.106	31065	1.06800e-04	3.31777	31337	1.05810e-04	3.31582	31520	1.05160e-04	3.31465	31227	1.06140e-04	3.31445
15861.726	16.106	31006	1.07020e-04	3.31816	31385	1.05660e-04	3.31602	31541	1.05100e-04	3.31484	31234	1.06120e-04	3.31465
15862.780	16.106	31041	1.06890e-04	3.31797	31337	1.05820e-04	3.31621	31523	1.05160e-04	3.31504	31185	1.06290e-04	3.31465
15863.834	16.122	31039	1.06890e-04	3.31777	31313	1.05900e-04	3.31602	31610	1.04870e-04	3.31484	31202	1.06230e-04	3.31445
