Sensors: ['0x40', '0x41', '0x44', '0x45']
Die temperature enabled: 0
Time [s]	PT104 [°C]	R_0 [Ω]	I_0 [A]	V_0 [V]	R_1 [Ω]	I_1 [A]	V_1 [V]	R_2 [Ω]	I_2 [A]	V_2 [V]	R_3 [Ω]	I_3 [A]	V_3 [V]
5898.611	17.546	29452	1.12590e-04	3.31602	29752	1.11380e-04	3.31387	29885	1.10830e-04	3.31230	29569	1.12020e-04	3.31230
5899.665	17.546	29395	1.12810e-04	3.31621	29741	1.11420e-04	3.31367	29871	1.10890e-04	3.31230	29555	1.12070e-04	3.31211
5900.720	17.542	29417	1.12730e-04	3.31602	29736	1.11440e-04	3.31387	29891	1.10820e-04	3.31250	29577	1.11980e-04	3.31211
5901.774	17.542	29380	1.12870e-04	3.31602	29708	1.11540e-04	3.31367	29904	1.10770e-04	3.31230	29548	1.12090e-04	3.31211
5902.828	17.526	29391	1.12830e-04	3.31621	29755	1.11360e-04	3.31367	29916	1.10730e-04	3.31250	29556	1.12060e-04	3.31211
5903.882	17.526	29404	1.12780e-04	3.31621	29790	1.11240e-04	3.31387	29910	1.10750e-04	3.31250	29599	1.11900e-04	3.31211
5904.935	17.526	29434	1.12660e-04	3.31602	29726	1.11470e-04	3.31367	29924	1.10700e-04	3.31250	29582	1.11960e-04	3.31211
5905.990	17.522	29421	1.12710e-04	3.31602	29746	1.11400e-04	3.31367	29871	1.10890e-04	3.31230	29567	1.12020e-04	3.31211
5907.044	17.522	29401	1.12790e-04	3.31621	29733	1.11440e-04	3.31348	29876	1.10870e-04	3.31230	29584	1.11950e-04	3.31191
5908.098	17.517	29423	1.12710e-04	3.31621	29773	1.11300e-04	3.31387	29899	1.10790e-04	3.31250	29546	1.12100e-04	3.31211
5909.152	17.517	29386	1.12840e-04	3.31602	29737	1.11440e-04	3.31387	29935	1.10660e-04	3.31250	29548	1.12090e-04	3.31211
5910.206	17.517	29435	1.12650e-04	3.31602	29775	1.11290e-04	3.31367	29951	1.10600e-04	3.31250	29582	1.11960e-04	3.31211
5911.260	17.520	29401	1.12790e-04	3.31602	29764	1.11330e-04	3.31367	29947	1.10610e-04	3.31230	29583	1.11960e-04	3.31211
5912.314	17.520	29426	1.12690e-04	3.31602	29760	1.11350e-04	3.31367	29952	1.10590e-04	3.31230	29565	1.12030e-04	3.31211
5913.369	17.512	29414	1.12740e-04	3.31602	29764	1.11330e-04	3.31367	29900	1.10780e-04	3.31230	29557	1.12050e-04	3.31191
5914.422	17.512	29448	1.12610e-04	3.31602	29786	1.11250e-04	3.31367	29869	1.10890e-04	3.31230	29580	1.11980e-04	3.31230
5915.476	17.512	29444	1.12630e-04	3.31621	29776	1.11290e-04	3.31367	29897	1.10790e-04	3.31230	29598	1.11900e-04	3.31211
5916.531	17.505	29444	1.12620e-04	3.31602	29805	1.11180e-04	3.31367	29967	1.10530e-04	3.31230	29585	1.11950e-04	3.31211
5917.584	17.505	29422	1.12710e-04	3.31602	29764	1.11330e-04	3.31367	29915	1.10730e-04	3.31250	29604	1.11880e-04	3.31211
5918.639	17.499	29401	1.12790e-04	3.31602	29809	1.11160e-04	3.31367	29958	1.10570e-04	3.31230	29594	1.11920e-04	3.31211
5919.693	17.499	29434	1.12650e-04	3.31582	29793	1.11220e-04	3.31367	30001	1.10400e-04	3.31230	29584	1.11960e-04	3.31230
5920.747	17.499	29482	1.12480e-04	3.31602	29774	1.11300e-04	3.31367	29971	1.10520e-04	3.31250	29581	1.11960e-04	3.31191
5921.801	17.505	29427	1.12690e-04	3.31602	29792	1.11230e-04	3.31367	29940	1.10630e-04	3.31230	29646	1.11720e-04	3.31211
5922.855	17.505	29445	1.12620e-04	3.31602	29764	1.11330e-04	3.31367	29943	1.10620e-04	3.31230	29606	1.11870e-04	3.31211
5923.909	17.505	29451	1.12590e-04	3.31602	29759	1.11350e-04	3.31367	30013	1.10360e-04	3.31230	29619	1.11820e-04	3.31211
5924.963	17.487	29484	1.12470e-04	3.31602	29785	1.11250e-04	3.31367	29979	1.10490e-04	3.31250	29596	1.11910e-04	3.31211
5926.017	17.487	29417	1.12730e-04	3.31602	29809	1.11160e-04	3.31348	29931	1.10660e-04	3.31230	29640	1.11740e-04	3.31211
5927.071	17.482	29478	1.12490e-04	3.31602	29830	1.11080e-04	3.31367	29938	1.10640e-04	3.31230	29603	1.11880e-04	3.31211
5928.125	17.482	29487	1.12450e-04	3.31582	29809	1.11160e-04	3.31367	30009	1.10380e-04	3.31230	29643	1.11730e-04	3.31191
5929.180	17.467	29555	1.12200e-04	3.31621	29851	1.11000e-04	3.31348	29951	1.10580e-04	3.31211	29613	1.11850e-04	3.31211
