Sensors: ['0x40', '0x41', '0x44', '0x45']
Time [s]	PT104 [°C]	R_0 [Ω]	I_0 [A]	V_0 [V]	R_1 [Ω]	I_1 [A]	V_1 [V]	R_2 [Ω]	I_2 [A]	V_2 [V]	R_3 [Ω]	I_3 [A]	V_3 [V]
30909.911	17.001	29945	1.10620e-04	3.31270	30311	1.09260e-04	3.31172	30374	1.09010e-04	3.31094	30147	1.09810e-04	3.31055
30910.965	17.001	29903	1.10790e-04	3.31289	30327	1.09210e-04	3.31191	30408	1.08880e-04	3.31094	30134	1.09860e-04	3.31055
30912.019	16.998	29885	1.10850e-04	3.31289	30245	1.09510e-04	3.31211	30402	1.08910e-04	3.31113	30183	1.09680e-04	3.31055
30913.073	16.998	29856	1.10950e-04	3.31270	30247	1.09490e-04	3.31191	30420	1.08840e-04	3.31094	30141	1.09840e-04	3.31055
30914.127	16.998	29905	1.10770e-04	3.31270	30325	1.09220e-04	3.31191	30435	1.08790e-04	3.31094	30113	1.09940e-04	3.31055
30915.182	17.015	29860	1.10940e-04	3.31270	30253	1.09470e-04	3.31191	30387	1.08960e-04	3.31094	30139	1.09840e-04	3.31035
30916.236	17.015	29943	1.10630e-04	3.31270	30241	1.09510e-04	3.31172	30425	1.08820e-04	3.31094	30153	1.09790e-04	3.31055
30917.290	17.015	29918	1.10720e-04	3.31270	30257	1.09460e-04	3.31191	30398	1.08920e-04	3.31094	30090	1.10020e-04	3.31055
30918.344	17.023	29922	1.10710e-04	3.31270	30276	1.09390e-04	3.31191	30410	1.08880e-04	3.31094	30186	1.09670e-04	3.31055
30919.398	17.023	29899	1.10800e-04	3.31270	30276	1.09390e-04	3.31191	30415	1.08870e-04	3.31113	30149	1.09810e-04	3.31074
30920.452	17.023	29921	1.10710e-04	3.31270	30249	1.09490e-04	3.31191	30385	1.08970e-04	3.31094	30141	1.09830e-04	3.31035
30921.506	17.023	29869	1.10910e-04	3.31270	30260	1.09450e-04	3.31191	30345	1.09110e-04	3.31094	30146	1.09820e-04	3.31055
30922.561	17.023	29861	1.10940e-04	3.31270	30293	1.09330e-04	3.31191	30358	1.09060e-04	3.31094	30132	1.09870e-04	3.31055
30923.614	17.013	29868	1.10910e-04	3.31270	30239	1.09520e-04	3.31191	30412	1.08870e-04	3.31094	30075	1.10080e-04	3.31055
30924.669	17.013	29869	1.10910e-04	3.31270	30280	1.09380e-04	3.31191	30362	1.09050e-04	3.31094	30145	1.09820e-04	3.31055
30925.723	17.013	29853	1.10970e-04	3.31270	30253	1.09480e-04	3.31191	30340	1.09130e-04	3.31113	30144	1.09820e-04	3.31055
30926.777	17.013	29878	1.10870e-04	3.31270	30194	1.09690e-04	3.31211	30416	1.08850e-04	3.31094	30078	1.10060e-04	3.31055
30927.831	17.013	29891	1.10830e-04	3.31270	30188	1.09710e-04	3.31191	30400	1.08910e-04	3.31094	30142	1.09830e-04	3.31035
