Sensors: ['0x40', '0x41', '0x44', '0x45']
Time [s]	PT104 [°C]	R_0 [Ω]	I_0 [A]	V_0 [V]	R_1 [Ω]	I_1 [A]	V_1 [V]	R_2 [Ω]	I_2 [A]	V_2 [V]	R_3 [Ω]	I_3 [A]	V_3 [V]
45442.750	39.011	12854	2.57600e-04	3.31113	12959	2.55440e-04	3.31035	13018	2.54210e-04	3.30918	12898	2.56530e-04	3.30879
45443.804	38.998	12861	2.57460e-04	3.31113	12950	2.55610e-04	3.31016	13042	2.53730e-04	3.30918	12883	2.56830e-04	3.30879
45444.859	38.998	12857	2.57530e-04	3.31113	12959	2.55430e-04	3.31016	13044	2.53700e-04	3.30918	12898	2.56530e-04	3.30879
45445.913	38.998	12859	2.57490e-04	3.31113	12970	2.55240e-04	3.31035	13042	2.53720e-04	3.30918	12893	2.56630e-04	3.30879
45446.967	39.019	12855	2.57580e-04	3.31113	12964	2.55350e-04	3.31035	13041	2.53750e-04	3.30918	12907	2.56350e-04	3.30879
45448.021	39.019	12857	2.57540e-04	3.31113	12957	2.55490e-04	3.31035	13047	2.53630e-04	3.30918	12902	2.56460e-04	3.30879
45449.075	39.005	12876	2.57150e-04	3.31113	12977	2.55090e-04	3.31035	13043	2.53720e-04	3.30918	12904	2.56410e-04	3.30879
45450.129	39.005	12880	2.57070e-04	3.31113	12969	2.55240e-04	3.31016	13042	2.53730e-04	3.30918	12891	2.56670e-04	3.30879
45451.183	39.005	12871	2.57270e-04	3.31113	12974	2.55130e-04	3.31016	13039	2.53790e-04	3.30918	12901	2.56470e-04	3.30879
45452.237	38.999	12861	2.57460e-04	3.31113	12973	2.55180e-04	3.31035	13037	2.53830e-04	3.30918	12891	2.56670e-04	3.30879
45453.292	38.999	12858	2.57520e-04	3.31113	12949	2.55650e-04	3.31035	13042	2.53740e-04	3.30938	12904	2.56420e-04	3.30879
45454.345	38.986	12867	2.57330e-04	3.31113	12979	2.55040e-04	3.31016	13053	2.53520e-04	3.30918	12905	2.56390e-04	3.30879
45455.400	38.986	12855	2.57580e-04	3.31113	12975	2.55130e-04	3.31035	13042	2.53730e-04	3.30918	12899	2.56520e-04	3.30879
45456.454	38.986	12866	2.57350e-04	3.31113	12963	2.55380e-04	3.31035	13051	2.53550e-04	3.30918	12918	2.56140e-04	3.30898
45457.507	38.984	12879	2.57100e-04	3.31113	12973	2.55140e-04	3.30996	13048	2.53610e-04	3.30918	12906	2.56360e-04	3.30859
45458.562	38.984	12885	2.56980e-04	3.31133	13004	2.54570e-04	3.31035	13061	2.53370e-04	3.30918	12940	2.55710e-04	3.30898
45459.616	38.963	12860	2.57470e-04	3.31113	12990	2.54850e-04	3.31035	13069	2.53200e-04	3.30918	12916	2.56180e-04	3.30879
45460.670	38.963	12879	2.57100e-04	3.31113	12980	2.55030e-04	3.31035	13055	2.53480e-04	3.30918	12929	2.55910e-04	3.30879
45461.724	38.963	12914	2.56390e-04	3.31113	12986	2.54920e-04	3.31035	13079	2.53010e-04	3.30918	12921	2.56080e-04	3.30879
45462.778	38.970	12917	2.56350e-04	3.31133	12992	2.54790e-04	3.31035	13111	2.52390e-04	3.30918	12933	2.55840e-04	3.30879
45463.832	38.970	12914	2.56420e-04	3.31133	13010	2.54450e-04	3.31035	13103	2.52570e-04	3.30938	12945	2.55610e-04	3.30879
45464.886	38.957	12890	2.56880e-04	3.31113	13022	2.54210e-04	3.31035	13076	2.53070e-04	3.30918	12949	2.55520e-04	3.30879
45465.941	38.957	12892	2.56850e-04	3.31113	12989	2.54870e-04	3.31035	13060	2.53390e-04	3.30918	12924	2.56030e-04	3.30879
45466.995	38.957	12869	2.57300e-04	3.31113	12990	2.54840e-04	3.31035	13075	2.53110e-04	3.30938	12912	2.56260e-04	3.30879
45468.048	38.957	12867	2.57340e-04	3.31113	12972	2.55190e-04	3.31035	13064	2.53300e-04	3.30918	12922	2.56050e-04	3.30879
45469.103	38.957	12896	2.56760e-04	3.31113	12989	2.54850e-04	3.31035	13064	2.53310e-04	3.30918	12916	2.56200e-04	3.30898
45470.157	38.957	12880	2.57080e-04	3.31113	12975	2.55110e-04	3.31016	13064	2.53300e-04	3.30918	12910	2.56290e-04	3.30879
45471.211	38.951	12894	2.56820e-04	3.31133	12981	2.55010e-04	3.31016	13061	2.53370e-04	3.30918	12916	2.56180e-04	3.30879
45472.265	38.951	12915	2.56380e-04	3.31113	13015	2.54360e-04	3.31035	13104	2.52530e-04	3.30918	12941	2.55690e-04	3.30879
45473.319	38.953	12905	2.56570e-04	3.31113	13019	2.54270e-04	3.31035	13087	2.52870e-04	3.30918	12952	2.55460e-04	3.30879
45474.373	38.953	12881	2.57060e-04	3.31113	13016	2.54320e-04	3.31016	13092	2.52760e-04	3.30918	12930	2.55910e-04	3.30898
45475.427	38.953	12868	2.57320e-04	3.31113	12994	2.54750e-04	3.31035	13079	2.53010e-04	3.30918	12936	2.55800e-04	3.30898
45476.482	38.947	12889	2.56900e-04	3.31133	12970	2.55230e-04	3.31035	13066	2.53280e-04	3.30938	12937	2.55750e-04	3.30879
45477.535	38.947	12882	2.57050e-04	3.31133	12976	2.55100e-04	3.31035	13064	2.53320e-04	3.30938	12914	2.56230e-04	3.30898
45478.589	38.952	12869	2.57300e-04	3.31113	12997	2.54700e-04	3.31035	13073	2.53140e-04	3.30918	12915	2.56190e-04	3.30879
45479.644	38.952	12882	2.57030e-04	3.31113	12986	2.54930e-04	3.31035	13064	2.53310e-04	3.30918	12918	2.56130e-04	3.30879
45480.698	38.952	12891	2.56860e-04	3.31113	12986	2.54920e-04	3.31035	13071	2.53160e-04	3.30918	12920	2.56120e-04	3.30898
45481.752	38.943	12900	2.56680e-04	3.31113	13010	2.54450e-04	3.31035	13065	2.53300e-04	3.30938	12921	2.56100e-04	3.30898
45482.806	38.943	12905	2.56570e-04	3.31113	13011	2.54420e-04	3.31035	13081	2.52970e-04	3.30918	12940	2.55720e-04	3.30898
45483.860	38.944	12884	2.56990e-04	3.31113	13016	2.54330e-04	3.31035	13074	2.53100e-04	3.30918	12932	2.55870e-04	3.30879
45484.915	38.944	12890	2.56880e-04	3.31113	13017	2.54310e-04	3.31035	13075	2.53090e-04	3.30918	12941	2.55680e-04	3.30879
45485.968	38.944	12891	2.56860e-04	3.31113	12987	2.54890e-04	3.31035	13077	2.53050e-04	3.30918	12933	2.55840e-04	3.30879
45487.022	38.934	12898	2.56720e-04	3.31133	12983	2.54980e-04	3.31035	13096	2.52700e-04	3.30938	12941	2.55690e-04	3.30879
45488.077	38.934	12901	2.56660e-04	3.31113	13026	2.54140e-04	3.31035	13098	2.52650e-04	3.30918	12943	2.55650e-04	3.30898
45489.131	38.934	12897	2.56740e-04	3.31113	13013	2.54380e-04	3.31035	13088	2.52820e-04	3.30898	12938	2.55730e-04	3.30879
45490.185	38.945	12889	2.56910e-04	3.31133	13011	2.54430e-04	3.31035	13082	2.52970e-04	3.30938	12920	2.56110e-04	3.30898
45491.239	38.945	12907	2.56540e-04	3.31113	13003	2.54580e-04	3.31035	13065	2.53280e-04	3.30918	12924	2.56040e-04	3.30898
45492.293	38.932	12924	2.56200e-04	3.31113	13017	2.54300e-04	3.31035	13093	2.52770e-04	3.30938	12938	2.55730e-04	3.30879
45493.347	38.932	12914	2.56400e-04	3.31113	13020	2.54240e-04	3.31035	13096	2.52670e-04	3.30898	12941	2.55680e-04	3.30879
45494.401	38.928	12906	2.56560e-04	3.31133	13009	2.54450e-04	3.31016	13091	2.52800e-04	3.30938	12948	2.55550e-04	3.30879
45495.455	38.928	12931	2.56060e-04	3.31113	13001	2.54610e-04	3.31035	13085	2.52910e-04	3.30938	12961	2.55300e-04	3.30898
45496.509	38.928	12939	2.55910e-04	3.31113	13010	2.54440e-04	3.31035	13122	2.52190e-04	3.30918	12950	2.55510e-04	3.30879
45497.564	38.927	12923	2.56220e-04	3.31113	13028	2.54090e-04	3.31016	13096	2.52690e-04	3.30918	12971	2.55110e-04	3.30898
45498.617	38.927	12906	2.56570e-04	3.31133	13031	2.54040e-04	3.31035	13085	2.52890e-04	3.30918	12953	2.55450e-04	3.30898
45499.672	38.927	12891	2.56870e-04	3.31133	13019	2.54260e-04	3.31035	13081	2.52970e-04	3.30918	12930	2.55900e-04	3.30879
45500.726	38.921	12898	2.56710e-04	3.31113	12999	2.54660e-04	3.31035	13080	2.53010e-04	3.30938	12931	2.55870e-04	3.30879
45501.780	38.921	12902	2.56640e-04	3.31113	13012	2.54410e-04	3.31035	13073	2.53130e-04	3.30918	12945	2.55600e-04	3.30879
45502.834	38.921	12901	2.56650e-04	3.31113	12986	2.54910e-04	3.31035	13093	2.52740e-04	3.30918	12946	2.55580e-04	3.30879
45503.888	38.921	12923	2.56220e-04	3.31113	13037	2.53900e-04	3.31016	13114	2.52360e-04	3.30938	12968	2.55150e-04	3.30879
45504.942	38.921	12904	2.56610e-04	3.31113	13035	2.53960e-04	3.31035	13099	2.52640e-04	3.30918	12957	2.55370e-04	3.30879
45505.996	38.901	12923	2.56220e-04	3.31113	13014	2.54360e-04	3.31035	13090	2.52810e-04	3.30938	12941	2.55690e-04	3.30879
45507.050	38.901	12919	2.56300e-04	3.31113	13042	2.53820e-04	3.31035	13094	2.52720e-04	3.30918	12945	2.55610e-04	3.30879
45508.105	38.914	12916	2.56370e-04	3.31133	13033	2.53990e-04	3.31035	13087	2.52880e-04	3.30938	12945	2.55600e-04	3.30879
45509.159	38.914	12906	2.56560e-04	3.31113	13016	2.54330e-04	3.31035	13085	2.52910e-04	3.30918	12938	2.55750e-04	3.30898
45510.212	38.914	12914	2.56400e-04	3.31113	13020	2.54250e-04	3.31035	13095	2.52710e-04	3.30918	12942	2.55670e-04	3.30879
45511.267	38.899	12922	2.56250e-04	3.31113	13024	2.54160e-04	3.31016	13093	2.52740e-04	3.30918	12947	2.55570e-04	3.30879
45512.321	38.899	12912	2.56430e-04	3.31113	13035	2.53960e-04	3.31035	13112	2.52380e-04	3.30918	12948	2.55570e-04	3.30898
45513.375	38.913	12922	2.56230e-04	3.31113	13032	2.54010e-04	3.31035	13115	2.52330e-04	3.30918	12952	2.55470e-04	3.30879
45514.429	38.913	12932	2.56050e-04	3.31113	13034	2.53980e-04	3.31035	13113	2.52360e-04	3.30918	12968	2.55150e-04	3.30879
45515.483	38.913	12916	2.56370e-04	3.31133	13033	2.53990e-04	3.31035	13108	2.52460e-04	3.30918	12961	2.55310e-04	3.30898
45516.537	38.892	12917	2.56330e-04	3.31113	13019	2.54270e-04	3.31035	13097	2.52670e-04	3.30918	12958	2.55360e-04	3.30879
45517.591	38.892	12960	2.55480e-04	3.31094	13006	2.54520e-04	3.31035	13112	2.52390e-04	3.30918	12950	2.55510e-04	3.30879
45518.646	38.878	12939	2.55910e-04	3.31113	13048	2.53690e-04	3.31016	13127	2.52100e-04	3.30938	12972	2.55080e-04	3.30879
45519.699	38.878	12924	2.56200e-04	3.31113	13053	2.53600e-04	3.31035	13112	2.52380e-04	3.30918	12976	2.55010e-04	3.30898
45520.754	38.878	12917	2.56360e-04	3.31133	13035	2.53960e-04	3.31035	13110	2.52400e-04	3.30898	12944	2.55630e-04	3.30898
45521.807	38.872	12903	2.56620e-04	3.31113	13024	2.54180e-04	3.31035	13106	2.52490e-04	3.30918	12962	2.55280e-04	3.30879
45522.862	38.872	12946	2.55760e-04	3.31113	13023	2.54190e-04	3.31035	13122	2.52190e-04	3.30918	12953	2.55440e-04	3.30879
45523.916	38.872	12933	2.56020e-04	3.31113	13062	2.53440e-04	3.31035	13125	2.52130e-04	3.30918	12995	2.54610e-04	3.30879
45524.970	38.875	12930	2.56080e-04	3.31113	13056	2.53540e-04	3.31035	13105	2.52520e-04	3.30938	12968	2.55170e-04	3.30898
45526.024	38.875	12926	2.56160e-04	3.31113	13035	2.53960e-04	3.31035	13120	2.52220e-04	3.30918	12953	2.55440e-04	3.30879
45527.078	38.886	12918	2.56320e-04	3.31113	13034	2.53990e-04	3.31035	13123	2.52160e-04	3.30918	12955	2.55400e-04	3.30879
