Sensors: ['0x40', '0x41', '0x44', '0x45']
Die temperature enabled: 1
Time [s]	PT104 [°C]	R_0 [Ω]	I_0 [A]	V_0 [V]	T_die_0 [°C]	R_1 [Ω]	I_1 [A]	V_1 [V]	T_die_1 [°C]	R_2 [Ω]	I_2 [A]	V_2 [V]	T_die_2 [°C]	R_3 [Ω]	I_3 [A]	V_3 [V]	T_die_3 [°C]
6641.774	nan	27731	1.19450e-04	3.31230	21.4	26813	1.23570e-04	3.31328	21.1	27639	1.19820e-04	3.31172	18.1	27435	1.20710e-04	3.31172	19.1
6642.962	nan	27710	1.19540e-04	3.31230	21.4	26786	1.23690e-04	3.31309	21.1	27650	1.19770e-04	3.31152	18.1	27409	1.20820e-04	3.31152	19.1
6644.151	nan	27748	1.19380e-04	3.31270	21.4	26770	1.23770e-04	3.31328	21.1	27642	1.19810e-04	3.31191	18.1	27427	1.20750e-04	3.31172	19.1
6645.339	nan	27743	1.19400e-04	3.31250	21.4	26768	1.23790e-04	3.31367	21.1	27636	1.19840e-04	3.31191	18.1	27448	1.20670e-04	3.31211	19.1
6646.527	nan	27724	1.19470e-04	3.31230	21.4	26761	1.23820e-04	3.31348	21.1	27620	1.19910e-04	3.31191	18.1	27440	1.20700e-04	3.31191	19.1
6647.715	nan	27783	1.19210e-04	3.31211	21.4	26823	1.23520e-04	3.31309	21.1	27652	1.19760e-04	3.31172	18.2	27463	1.20590e-04	3.31172	19.1
6648.904	nan	27815	1.19080e-04	3.31230	21.4	26852	1.23380e-04	3.31309	21.1	27721	1.19460e-04	3.31152	18.2	27534	1.20280e-04	3.31172	19.1
6650.092	nan	27874	1.18840e-04	3.31250	21.4	26915	1.23100e-04	3.31328	21.1	27721	1.19460e-04	3.31172	18.2	27543	1.20230e-04	3.31152	19.1
6651.280	nan	27851	1.18930e-04	3.31230	21.4	27017	1.22640e-04	3.31328	21.1	27740	1.19390e-04	3.31191	18.1	27480	1.20520e-04	3.31191	19.1
6652.468	nan	27858	1.18910e-04	3.31250	21.4	26972	1.22830e-04	3.31309	21.1	27751	1.19340e-04	3.31172	18.1	27471	1.20550e-04	3.31172	19.1
6653.657	nan	27910	1.18680e-04	3.31230	21.4	26984	1.22800e-04	3.31348	21.1	27768	1.19270e-04	3.31191	18.2	27509	1.20390e-04	3.31191	19.1
6654.845	nan	27839	1.18980e-04	3.31230	21.4	27000	1.22710e-04	3.31309	21.1	27776	1.19230e-04	3.31172	18.2	27488	1.20480e-04	3.31172	19.1
6656.033	nan	27841	1.18970e-04	3.31230	21.4	26977	1.22820e-04	3.31328	21.1	27762	1.19290e-04	3.31172	18.2	27476	1.20530e-04	3.31172	19.1
6657.221	nan	27877	1.18820e-04	3.31250	21.4	27003	1.22690e-04	3.31309	21.1	27789	1.19170e-04	3.31172	18.2	27510	1.20380e-04	3.31152	19.1
6658.410	nan	27869	1.18850e-04	3.31230	21.4	26954	1.22920e-04	3.31328	21.1	27761	1.19300e-04	3.31191	18.2	27510	1.20380e-04	3.31152	19.1
6659.598	nan	27861	1.18880e-04	3.31211	21.4	26973	1.22840e-04	3.31328	21.1	27765	1.19280e-04	3.31172	18.2	27484	1.20500e-04	3.31191	19.1
6660.786	nan	27902	1.18710e-04	3.31230	21.4	26938	1.23000e-04	3.31328	21.1	27679	1.19650e-04	3.31172	18.2	27505	1.20400e-04	3.31152	19.1
6661.974	nan	27882	1.18790e-04	3.31211	21.4	26927	1.23040e-04	3.31309	21.1	27698	1.19570e-04	3.31172	18.2	27501	1.20430e-04	3.31191	19.1
6663.162	nan	27911	1.18670e-04	3.31230	21.4	26899	1.23170e-04	3.31328	21.1	27712	1.19500e-04	3.31152	18.2	27516	1.20360e-04	3.31172	19.1
6664.351	nan	27894	1.18740e-04	3.31211	21.4	26917	1.23080e-04	3.31289	21.1	27674	1.19660e-04	3.31152	18.2	27511	1.20360e-04	3.31133	19.1
6665.539	nan	27920	1.18640e-04	3.31230	21.4	26888	1.23230e-04	3.31348	21.1	27691	1.19590e-04	3.31172	18.2	27485	1.20490e-04	3.31172	19.1
6666.728	nan	27938	1.18540e-04	3.31191	21.4	26848	1.23400e-04	3.31309	21.1	27644	1.19800e-04	3.31172	18.2	27503	1.20410e-04	3.31152	19.1
6667.915	nan	27909	1.18670e-04	3.31191	21.4	26837	1.23440e-04	3.31270	21.1	27664	1.19700e-04	3.31133	18.2	27475	1.20510e-04	3.31113	19.1
6669.104	nan	27981	1.18360e-04	3.31191	21.3	26816	1.23550e-04	3.31309	21.1	27648	1.19770e-04	3.31133	18.2	27483	1.20490e-04	3.31133	19.1
6670.292	nan	27889	1.18740e-04	3.31152	21.3	26737	1.23900e-04	3.31270	21.1	27620	1.19890e-04	3.31133	18.2	27530	1.20280e-04	3.31133	19.1
6671.480	nan	27964	1.18450e-04	3.31230	21.3	26752	1.23820e-04	3.31230	21.1	27625	1.19850e-04	3.31094	18.2	27473	1.20510e-04	3.31074	19.1
6672.668	nan	27985	1.18380e-04	3.31270	21.3	26747	1.23900e-04	3.31406	21.1	27601	1.19990e-04	3.31191	18.2	27468	1.20590e-04	3.31250	19.1
6673.857	nan	28047	1.18090e-04	3.31191	21.3	26732	1.23940e-04	3.31328	21.1	27577	1.20100e-04	3.31191	18.2	27482	1.20510e-04	3.31172	19.1
6675.045	nan	28016	1.18200e-04	3.31152	21.3	26713	1.24020e-04	3.31289	21.1	27523	1.20320e-04	3.31152	18.2	27440	1.20670e-04	3.31133	19.1
6676.233	nan	28032	1.18160e-04	3.31211	21.3	26649	1.24290e-04	3.31230	21.1	27589	1.20010e-04	3.31094	18.3	27464	1.20560e-04	3.31094	19.1
6677.422	nan	28065	1.18010e-04	3.31211	21.3	26679	1.24190e-04	3.31328	21.2	27563	1.20150e-04	3.31172	18.3	27475	1.20540e-04	3.31172	19.1
6678.610	nan	28093	1.17880e-04	3.31172	21.3	26644	1.24340e-04	3.31289	21.2	27585	1.20040e-04	3.31133	18.3	27424	1.20740e-04	3.31133	19.1
6679.798	nan	28076	1.17960e-04	3.31191	21.3	26646	1.24330e-04	3.31289	21.2	27559	1.20150e-04	3.31113	18.3	27492	1.20450e-04	3.31133	19.1
6680.986	nan	28085	1.17910e-04	3.31152	21.3	26598	1.24540e-04	3.31250	21.2	27541	1.20240e-04	3.31152	18.3	27446	1.20640e-04	3.31113	19.1
6682.174	nan	28053	1.18030e-04	3.31113	21.3	26617	1.24450e-04	3.31250	21.2	27525	1.20280e-04	3.31074	18.3	27455	1.20600e-04	3.31113	19.1
6683.363	nan	28115	1.17790e-04	3.31172	21.3	26567	1.24680e-04	3.31230	21.2	27498	1.20400e-04	3.31074	18.3	27428	1.20720e-04	3.31094	19.1
6684.551	nan	28078	1.17960e-04	3.31211	21.3	26572	1.24680e-04	3.31289	21.2	27492	1.20450e-04	3.31133	18.3	27408	1.20820e-04	3.31133	19.1
