Sensors: ['0x40', '0x41', '0x44', '0x45']
Die temperature enabled: 1
Time [s]	PT104 [°C]	R_0 [Ω]	I_0 [A]	V_0 [V]	T_die_0 [°C]	R_1 [Ω]	I_1 [A]	V_1 [V]	T_die_1 [°C]	R_2 [Ω]	I_2 [A]	V_2 [V]	T_die_2 [°C]	R_3 [Ω]	I_3 [A]	V_3 [V]	T_die_3 [°C]
5680.120	nan	42571	7.77200e-05	3.30859	23.3	42846	7.72100e-05	3.30820	21.5	43230	7.65000e-05	3.30723	20.0	1787883	1.85000e-06	3.30781	20.3
5681.309	nan	42709	7.74600e-05	3.30840	23.3	42847	7.72100e-05	3.30840	21.5	43158	7.66300e-05	3.30723	20.0	-5461871	-6.10000e-07	3.30762	20.3
5682.498	nan	42653	7.75700e-05	3.30859	23.3	42784	7.73200e-05	3.30820	21.5	43199	7.65600e-05	3.30742	20.0	16284964	2.00000e-07	3.30801	20.3
5683.686	nan	42579	7.77000e-05	3.30840	23.3	42752	7.73800e-05	3.30840	21.5	43194	7.65800e-05	3.30762	20.0	46868756	7.00000e-08	3.30762	20.3
5684.875	nan	42582	7.77000e-05	3.30879	23.3	42675	7.75200e-05	3.30820	21.5	43175	7.66000e-05	3.30723	20.0	54195200	6.00000e-08	3.30781	20.3
5686.064	nan	42542	7.77700e-05	3.30840	23.3	42700	7.74800e-05	3.30840	21.5	43072	7.67900e-05	3.30742	20.0	-2141045	-1.54000e-06	3.30781	20.3
5687.253	nan	42484	7.78700e-05	3.30840	23.3	42639	7.75900e-05	3.30820	21.5	43085	7.67700e-05	3.30742	20.0	-2206420	-1.50000e-06	3.30781	20.3
5688.441	nan	42507	7.78300e-05	3.30840	23.3	42532	7.77800e-05	3.30820	21.5	43076	7.67800e-05	3.30742	20.0	-11797595	-2.80000e-07	3.30781	20.3
5689.630	nan	42396	7.80400e-05	3.30840	23.3	42550	7.77500e-05	3.30820	21.5	43164	7.66200e-05	3.30723	20.0	-2052241	-1.61000e-06	3.30762	20.3
5690.819	nan	42328	7.81600e-05	3.30840	23.3	42461	7.79100e-05	3.30820	21.5	42931	7.70400e-05	3.30742	20.0	-2052241	-1.61000e-06	3.30762	20.2
5692.007	nan	42312	7.82000e-05	3.30859	23.3	42462	7.79100e-05	3.30820	21.5	42957	7.69900e-05	3.30742	20.0	-1519180	-2.18000e-06	3.30762	20.2
5693.196	nan	42352	7.81200e-05	3.30840	23.3	42410	7.80000e-05	3.30820	21.4	42912	7.70700e-05	3.30723	20.0	-6543940	-5.10000e-07	3.30762	20.2
5694.384	nan	42285	7.82400e-05	3.30840	23.3	42406	7.80100e-05	3.30820	21.4	42800	7.72700e-05	3.30723	20.0	-7063722	-4.70000e-07	3.30762	20.2
5695.573	nan	42212	7.83800e-05	3.30840	23.3	42348	7.81200e-05	3.30820	21.4	42938	7.70200e-05	3.30723	20.0	-10261206	-3.20000e-07	3.30762	20.2
5696.762	nan	42146	7.85000e-05	3.30840	23.3	42341	7.81300e-05	3.30820	21.4	42878	7.71300e-05	3.30723	20.0	-1504028	-2.20000e-06	3.30762	20.2
5697.950	nan	42182	7.84300e-05	3.30840	23.3	42275	7.82500e-05	3.30820	21.4	42802	7.72700e-05	3.30723	20.0	3396952	9.70000e-07	3.30762	20.2
5699.139	nan	42167	7.84600e-05	3.30840	23.3	42254	7.82900e-05	3.30820	21.4	42759	7.73500e-05	3.30723	20.0	-4128914	-8.00000e-07	3.30762	20.2
5700.328	nan	42156	7.84800e-05	3.30840	23.3	42259	7.82800e-05	3.30820	21.4	42727	7.74000e-05	3.30723	20.0	-1750776	-1.89000e-06	3.30762	20.2
5701.517	nan	42016	7.87400e-05	3.30840	23.3	42186	7.84100e-05	3.30801	21.4	42679	7.74900e-05	3.30723	20.0	3786340	8.70000e-07	3.30762	20.2
5702.705	nan	42067	7.86500e-05	3.30840	23.3	42093	7.85900e-05	3.30820	21.4	42735	7.73900e-05	3.30723	20.0	-1607177	-2.06000e-06	3.30762	20.2
5703.894	nan	41983	7.88000e-05	3.30840	23.3	42167	7.84500e-05	3.30820	21.4	42608	7.76200e-05	3.30723	20.0	-70781384	-5.00000e-08	3.30762	20.2
5705.082	nan	42001	7.87600e-05	3.30820	23.3	42128	7.85300e-05	3.30820	21.4	42611	7.76100e-05	3.30723	20.0	-192682672	-2.00000e-08	3.30762	20.2
5706.271	nan	41953	7.88600e-05	3.30840	23.3	42146	7.84900e-05	3.30801	21.4	42612	7.76100e-05	3.30723	20.0	-3005449	-1.10000e-06	3.30762	20.2
5707.460	nan	41901	7.89600e-05	3.30840	23.3	42051	7.86700e-05	3.30820	21.4	42509	7.78000e-05	3.30723	20.0	7240684	4.60000e-07	3.30762	20.2
5708.648	nan	41963	7.88400e-05	3.30840	23.2	41927	7.89000e-05	3.30820	21.4	42517	7.77900e-05	3.30723	20.0	7690217	4.30000e-07	3.30762	20.2
5709.837	nan	41863	7.90300e-05	3.30840	23.2	41912	7.89300e-05	3.30820	21.4	42512	7.78000e-05	3.30742	20.0	150795120	2.00000e-08	3.30762	20.2
5711.026	nan	41840	7.90700e-05	3.30840	23.2	41965	7.88300e-05	3.30820	21.4	42545	7.77300e-05	3.30723	20.0	2423538	1.36000e-06	3.30742	20.2
5712.215	nan	41794	7.91600e-05	3.30840	23.2	41835	7.90700e-05	3.30801	21.4	42399	7.80000e-05	3.30723	20.0	-4019110	-8.20000e-07	3.30781	20.2
5713.403	nan	41732	7.92800e-05	3.30840	23.2	41860	7.90300e-05	3.30820	21.4	42417	7.79700e-05	3.30723	20.0	-3085484	-1.07000e-06	3.30742	20.2
5714.592	nan	41714	7.93100e-05	3.30840	23.2	41802	7.91300e-05	3.30801	21.4	42407	7.79900e-05	3.30723	20.0	6734540	4.90000e-07	3.30762	20.2
5715.780	nan	41619	7.94900e-05	3.30840	23.2	41786	7.91600e-05	3.30801	21.4	42342	7.81100e-05	3.30723	20.0	-4563536	-7.20000e-07	3.30762	20.2
5716.969	nan	41670	7.93900e-05	3.30840	23.2	41720	7.93000e-05	3.30820	21.4	42299	7.81900e-05	3.30723	20.0	-1764134	-1.87000e-06	3.30762	20.2
5718.158	nan	41588	7.95500e-05	3.30840	23.2	41661	7.94100e-05	3.30820	21.4	42320	7.81500e-05	3.30723	20.0	-1168167	-2.83000e-06	3.30762	20.2
5719.347	nan	41583	7.95600e-05	3.30840	23.2	41642	7.94400e-05	3.30820	21.4	42194	7.83800e-05	3.30723	20.0	-5549260	-6.00000e-07	3.30762	20.2
5720.535	nan	41491	7.97400e-05	3.30840	23.2	41592	7.95400e-05	3.30801	21.4	42190	7.83900e-05	3.30723	20.0	-7410871	-4.50000e-07	3.30762	20.2
