Sensors: ['0x40', '0x41', '0x44', '0x45']
Die temperature enabled: 1
Time [s]	PT104 [°C]	R_0 [Ω]	I_0 [A]	V_0 [V]	T_die_0 [°C]	R_1 [Ω]	I_1 [A]	V_1 [V]	T_die_1 [°C]	R_2 [Ω]	I_2 [A]	V_2 [V]	T_die_2 [°C]	R_3 [Ω]	I_3 [A]	V_3 [V]	T_die_3 [°C]
1403.947	nan	25122	1.31930e-04	3.31426	25.7	24167	1.37170e-04	3.31504	24.4	25082	1.32110e-04	3.31348	21.4	25009	1.32500e-04	3.31367	22.5
1405.135	nan	25089	1.32090e-04	3.31406	25.7	24182	1.37080e-04	3.31484	24.4	25102	1.32000e-04	3.31348	21.4	25018	1.32440e-04	3.31348	22.5
1406.324	nan	25108	1.32000e-04	3.31426	25.7	24191	1.37040e-04	3.31523	24.4	25080	1.32120e-04	3.31348	21.4	25035	1.32360e-04	3.31367	22.5
1407.512	nan	25107	1.32000e-04	3.31426	25.7	24160	1.37220e-04	3.31523	24.4	25102	1.32000e-04	3.31348	21.4	25001	1.32530e-04	3.31348	22.5
1408.701	nan	25095	1.32060e-04	3.31406	25.7	24187	1.37060e-04	3.31504	24.4	25071	1.32160e-04	3.31348	21.4	25032	1.32370e-04	3.31348	22.5
1409.889	nan	25079	1.32150e-04	3.31426	25.7	24167	1.37170e-04	3.31504	24.4	25082	1.32100e-04	3.31348	21.4	24988	1.32600e-04	3.31328	22.5
1411.077	nan	25081	1.32140e-04	3.31426	25.7	24165	1.37180e-04	3.31484	24.4	25086	1.32090e-04	3.31348	21.4	25030	1.32380e-04	3.31348	22.5
1412.265	nan	25094	1.32070e-04	3.31406	25.7	24167	1.37180e-04	3.31523	24.4	25060	1.32220e-04	3.31348	21.4	25028	1.32400e-04	3.31367	22.5
1413.454	nan	25084	1.32110e-04	3.31387	25.7	24166	1.37180e-04	3.31504	24.4	25076	1.32150e-04	3.31367	21.4	25006	1.32500e-04	3.31328	22.5
1414.642	nan	25107	1.32000e-04	3.31426	25.7	24178	1.37110e-04	3.31504	24.4	25070	1.32170e-04	3.31348	21.4	25032	1.32370e-04	3.31348	22.5
1415.830	nan	25113	1.31960e-04	3.31406	25.7	24205	1.36950e-04	3.31484	24.4	25074	1.32150e-04	3.31348	21.4	24994	1.32570e-04	3.31348	22.5
